iter	Passed	Remaining
0	130	130724
1	131	65862
2	133	44252
3	134	33403
4	135	26939
5	136	22597
6	137	19486
7	138	17155
8	139	15347
9	140	13892
10	141	12712
11	142	11727
12	143	10889
13	144	10168
14	145	9543
15	146	8999
16	147	8517
17	148	8089
18	149	7710
19	150	7367
20	151	7056
21	152	6771
22	153	6513
23	154	6277
24	156	6088
25	157	5895
26	158	5714
27	159	5540
28	160	5384
29	161	5232
30	162	5088
31	164	4961
32	165	4838
33	166	4719
34	167	4607
35	168	4502
36	169	4415
37	170	4320
38	171	4229
39	172	4141
40	173	4059
41	174	3981
42	175	3908
43	176	3839
44	177	3775
45	179	3716
46	180	3656
47	181	3598
48	182	3548
49	184	3500
50	185	3453
51	186	3408
52	188	3361
53	189	3314
54	190	3270
55	191	3228
56	192	3189
57	193	3148
58	194	3108
59	196	3070
60	197	3038
61	198	3003
62	199	2968
63	200	2933
64	201	2901
65	202	2868
66	203	2837
67	204	2808
68	206	2781
69	207	2755
70	208	2732
71	209	2705
72	211	2685
73	212	2659
74	213	2633
75	214	2610
76	215	2586
77	216	2562
78	217	2539
79	218	2517
80	219	2495
81	221	2474
82	221	2448
83	222	2431
84	224	2412
85	225	2394
86	226	2376
87	227	2358
88	228	2339
89	229	2322
90	230	2305
91	231	2288
92	232	2271
93	233	2254
94	234	2238
95	236	2222
96	237	2207
97	238	2192
98	239	2180
99	240	2166
100	241	2152
101	242	2137
102	243	2122
103	244	2109
104	245	2095
105	246	2081
106	247	2067
107	248	2054
108	249	2041
109	250	2028
110	251	2016
111	252	2004
112	253	1993
113	254	1981
114	256	1970
115	256	1958
116	257	1945
117	258	1934
118	259	1923
119	260	1912
120	261	1902
121	262	1890
122	263	1879
123	264	1869
124	265	1859
125	266	1850
126	268	1842
127	269	1833
128	270	1823
129	270	1813
130	271	1804
131	272	1794
132	273	1785
133	274	1776
134	275	1768
135	276	1759
136	277	1750
137	278	1741
138	279	1733
139	280	1724
140	282	1718
141	282	1708
142	283	1700
143	284	1692
144	285	1684
145	286	1677
146	287	1668
147	288	1661
148	289	1653
149	290	1646
150	291	1639
151	292	1632
152	293	1624
153	294	1617
154	295	1610
155	296	1604
156	297	1597
157	298	1590
158	299	1584
159	300	1578
160	301	1570
161	302	1563
162	303	1556
163	304	1549
164	304	1543
165	305	1536
166	306	1529
167	307	1523
168	308	1516
169	309	1509
170	310	1503
171	311	1497
172	312	1492
173	313	1486
174	314	1480
175	314	1474
176	315	1468
177	316	1462
178	317	1456
179	318	1450
180	319	1444
181	320	1438
182	321	1433
183	321	1427
184	322	1421
185	323	1416
186	324	1411
187	325	1405
188	326	1400
189	327	1395
190	328	1389
191	329	1385
192	330	1380
193	330	1374
194	331	1369
195	332	1364
196	333	1359
197	334	1354
198	335	1349
199	336	1344
200	337	1340
201	337	1335
202	338	1330
203	339	1325
204	340	1321
205	341	1317
206	342	1312
207	343	1308
208	344	1303
209	345	1299
210	346	1294
211	347	1290
212	348	1285
213	348	1281
214	349	1277
215	350	1272
216	351	1268
217	352	1264
218	353	1260
219	354	1256
220	355	1252
221	356	1248
222	357	1244
223	358	1240
224	359	1236
225	359	1232
226	360	1228
227	361	1224
228	362	1220
229	363	1216
230	364	1212
231	365	1209
232	366	1205
233	367	1201
234	367	1197
235	368	1194
236	369	1190
237	370	1186
238	371	1182
239	372	1179
240	373	1175
241	374	1172
242	375	1169
243	376	1165
244	377	1161
245	377	1158
246	378	1154
247	379	1151
248	380	1147
249	381	1144
250	382	1141
251	383	1137
252	384	1134
253	384	1130
254	385	1127
255	386	1124
256	387	1120
257	388	1117
258	389	1114
259	390	1110
260	391	1107
261	392	1104
262	393	1101
263	393	1098
264	394	1094
265	395	1091
266	396	1089
267	397	1085
268	398	1082
269	399	1079
270	400	1076
271	401	1073
272	402	1071
273	403	1068
274	404	1065
275	404	1062
276	405	1059
277	406	1056
278	407	1053
279	408	1050
280	409	1047
281	410	1044
282	411	1041
283	411	1038
284	412	1035
285	413	1032
286	414	1029
287	415	1026
288	416	1024
289	417	1021
290	417	1018
291	418	1015
292	419	1013
293	420	1010
294	421	1008
295	422	1005
296	423	1002
297	424	1000
298	430	1010
299	432	1009
300	433	1007
301	435	1005
302	436	1004
303	437	1002
304	438	999
305	440	998
306	441	995
307	442	994
308	443	992
309	444	990
310	446	988
311	447	987
312	449	986
313	451	985
314	452	984
315	455	984
316	456	982
317	457	980
318	458	977
319	459	975
320	459	972
321	460	970
322	462	968
323	463	966
324	464	964
325	465	961
326	466	959
327	467	957
328	468	954
329	469	952
330	470	950
331	471	948
332	472	945
333	473	943
334	474	941
335	475	938
336	476	937
337	477	935
338	478	932
339	479	930
340	480	928
341	481	925
342	482	923
343	482	920
344	483	918
345	484	916
346	485	913
347	486	911
348	487	908
349	488	906
350	488	904
351	489	901
352	490	899
353	491	897
354	492	895
355	493	892
356	494	890
357	495	888
358	496	886
359	497	883
360	498	881
361	498	879
362	499	877
363	500	874
364	501	872
365	502	870
366	503	868
367	504	865
368	505	863
369	505	861
370	506	859
371	507	857
372	508	854
373	509	852
374	510	850
375	511	848
376	512	847
377	513	845
378	514	843
379	515	840
380	516	838
381	517	836
382	518	834
383	518	832
384	519	830
385	520	828
386	521	826
387	522	824
388	523	822
389	524	820
390	525	818
391	526	816
392	527	814
393	528	812
394	529	810
395	530	808
396	530	806
397	531	804
398	532	802
399	533	800
400	534	798
401	535	796
402	536	795
403	537	793
404	538	791
405	539	789
406	540	787
407	541	785
408	542	784
409	544	783
410	545	781
411	546	779
412	547	778
413	548	776
414	549	775
415	551	774
416	552	773
417	554	771
418	555	770
419	556	768
420	557	767
421	558	765
422	559	763
423	561	762
424	562	760
425	563	759
426	564	758
427	566	757
428	567	755
429	569	754
430	570	752
431	571	751
432	572	749
433	573	748
434	574	746
435	575	745
436	577	743
437	578	741
438	580	741
439	581	740
440	582	738
441	584	737
442	585	736
443	586	734
444	587	733
445	589	731
446	590	730
447	591	728
448	592	727
449	595	727
450	596	726
451	597	724
452	598	723
453	599	721
454	600	719
455	602	718
456	603	716
457	604	715
458	605	713
459	606	712
460	608	711
461	610	710
462	611	709
463	612	707
464	613	706
465	614	704
466	616	703
467	617	702
468	618	700
469	620	699
470	621	697
471	622	696
472	624	695
473	625	694
474	626	692
475	627	691
476	629	689
477	630	688
478	631	686
479	632	685
480	633	683
481	635	682
482	637	682
483	640	682
484	646	686
485	647	685
486	649	684
487	650	682
488	652	682
489	655	682
490	661	686
491	663	685
492	664	683
493	666	683
494	668	682
495	673	684
496	675	683
497	676	682
498	688	691
499	690	690
500	693	690
501	694	688
502	695	687
503	696	685
504	697	684
505	698	682
506	700	680
507	701	679
508	703	678
509	704	676
510	705	675
511	707	674
512	708	673
513	710	671
514	711	669
515	712	668
516	713	666
