iter	Passed	Remaining
0	1	128
1	2	121
2	3	116
3	4	104
4	5	102
5	6	100
6	7	99
7	8	96
8	9	95
9	10	94
10	11	92
11	12	92
12	13	90
13	14	89
14	15	87
15	16	85
16	17	84
17	18	82
18	19	81
19	19	79
20	20	78
21	21	77
22	22	75
23	23	74
24	24	72
25	25	71
26	25	70
27	26	68
28	27	67
29	28	66
30	29	65
31	30	64
32	31	62
33	31	61
34	32	60
35	33	59
36	34	58
37	35	57
38	36	56
39	37	55
40	38	54
41	38	53
42	39	52
43	40	51
44	41	50
45	41	49
46	42	48
47	43	47
48	44	46
49	45	45
50	46	44
51	47	43
52	47	42
53	48	41
54	49	40
55	50	39
56	51	38
57	52	37
58	53	36
59	53	35
60	54	35
61	55	34
62	56	33
63	57	32
64	58	31
65	59	30
66	60	29
67	60	28
68	61	27
69	62	26
70	63	25
71	64	25
72	65	24
73	66	23
74	67	22
75	67	21
76	68	20
77	69	19
78	70	18
79	71	17
80	71	16
81	72	15
82	73	15
83	74	14
84	75	13
85	76	12
86	77	11
87	78	10
88	78	9
89	79	8
90	80	7
91	81	7
92	82	6
93	83	5
94	84	4
95	85	3
96	85	2
97	86	1
98	87	0
99	88	0
